name,info,description,url
AAS 103. First Year Social Science Seminar,"Enrollment restricted to first-year students, including those with sophomore standing. (3). (SS). May not be repeated for credit. (Cross-Area Courses). May not be included in a major.",This seminar introduces first-year students to the intellectual community of social scientists working in the field of Afroamerican and African studies.  The topic of the seminar varies from year to year.,"['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=103', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=103', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=103', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=103', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=103']"
AAS 104. First Year Humanities Seminar,"Enrollment restricted to first-year students, including those with sophomore standing. (3). (HU). May not be repeated for credit. (Cross-Area Courses). May not be included in a major.",This seminar introduces first-year students to the intellectual community of humanities scholars working in the field of Afroamerican and African studies.  The topic of the seminar varies from year to year.,"['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=104', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=104', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=104', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=104', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=104', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=104']"
AAS 111. Introduction to Africa and Its Diaspora,(4). (HU). (R&E). May not be repeated for credit. May not be included in a DAAS major. F.,"Introduces basic concepts and methods involved in the study of Africa and its Diaspora. This team-taught course takes a multimedia, interdisciplinary approach using maps, cultural artifacts, films, art, music, archival documents, literary texts, and key scholarly readings from both the humanities and social sciences. Prerequisite to the AAS concentration and minor.","['WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=111', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=111', 'SP 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2230&cgtype=ug&show=20&department=AAS&catalog=111', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=111', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=111']"
AAS 115. Elementary Swahili,(4). May not be repeated for credit. Students with credit for AAS 115 may only elect AAS 117 for 4 credits.,"This introductory-level course is designed for students with little or no previous study of Swahili (Kiswahili). Students develop their ability to communicate satisfactorily in Swahili in everyday practical situations as well as acquire some of the skills necessary for effective reading and writing. Using a variety of written and oral materials, the course focuses on the development of the four language skills necessary for interpersonal communication in Swahili: listening, writing, reading, and speaking.","['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=115', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=115', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=115']"
AAS 116. Elementary Swahili II: Language and Culture,AAS 115. (4). May not be repeated for credit. No credit granted to those who have completed or are enrolled in AAS 117.,"This introductory-level course is designed for students who have successfully completed Swahili I or have permission of the instructor.  Students continue to develop their ability to communicate satisfactorily in Swahili in everyday practical situations while acquiring the additional skills necessary for effective reading and writing.  Using a variety of written and oral materials, the course focuses on the development of the four language skills necessary for interpersonal communication in Swahili:  listening, writing, reading, and speaking.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=116', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=116', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=116']"
AAS 125. Elementary African Languages I,(4). May not be repeated for credit. May not repeat the same language at the same level.,"This course develops students' ability to speak, listen, read and write at the Elementary level in the sub-Saharan African language of their choice.","['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=125', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=125', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=125']"
AAS 200. Introduction to African Studies,(3). (SS). May not be repeated for credit.,"An interdisciplinary introduction to the history and cultures of Africa. The course surveys Africa's prehistoric past, the rise and development of early African states, and African achievements from the medieval period to the present. Throughout, attention is given to changing perspectives and approaches in the field of African Studies.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=200', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=200', 'SP 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2280&cgtype=ug&show=20&department=AAS&catalog=200', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=200', 'SP 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2230&cgtype=ug&show=20&department=AAS&catalog=200', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=200']"
AAS 201. Introduction to Afro-American Studies,(3). (SS). May not be repeated for credit.,"This course provides an interdisciplinary overview and introduction to the area of Afro-American Studies. Historical, political, sociocultural, and behavioral perspectives are brought to bear on the analysis of the Black American experience.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=201', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=201', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=201', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=201']"
AAS 202. Introduction to African Diasporic Studies,(3). May not be repeated for credit.,"This course provides a comprehensive, interdisciplinary introduction to Africa and its diaspora through a variety of topics including but not limited to: Atlantic slavery; imperialism and decolonization; migration; revolution; literature and the arts; global capital, industrialization and the environment; and public health.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=202', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=202']"
AAS 203. Issues in Afro-American Development,AAS 111. (3). (SS). May not be repeated for credit. (African-American Studies). Sp.,"An interdisciplinary course concerned with issues currently critical to the development of the Black community along various dimensions, including the economic, political, social and educational aspects.",[]
AAS 206. Issues in African Studies,AAS 111. (3). May not be repeated for credit. (African Studies).,,"['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=206', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=206', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=206']"
AAS 208 / HISTART 208. Introduction to African Art,(4). (HU). (R&E). May not be repeated for credit.,"This class investigates several pivotal issues and lie behind the surfaces of some extraordinary objects and practices of a selected group of African and African Diaspora cultures. Students learn how to see and understand a wide range of African visual practices. Topics include architecture, textiles, body adornment, painting, graphic communication systems, photography, dance, ritual performance and sculpture. Such practices continue to unfold on the African continent as people are transformed and endure in the African Diaspora.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=208', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=208']"
"AAS 211. Caribbean Culture: Literature, Music, and Politics",(3). May not be repeated for credit.,"This course introduces students to AfroCaribbean literature and culture of the 18th-21st centuries, focusing on Jamaica, Trinidad, Guyana, Haiti, and various Caribbean islands. Novels, short stories, and poems will be accompanied by critical essays and films that examine Caribbean (post)colonial identity, history, and culture.",[]
AAS 215. Intermediate Swahili I,AAS 116 or 117. (4). May not be repeated for credit.,"This course is designed for students who have completed the Elementary Swahili sequence or those with the permission of the instructor. It broadens speaking, reading and writing skills as students engage in discussions and writing on more complex topics.","['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=215', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=215', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=215']"
